Date,Max Temp (C),Min Temp (C),Avg Temp (C),Total Precip (mm),Wind Speed (km/h)
2018-01-01,27,25,26,0,13
2018-01-02,28,26,26,0,13
2018-01-03,26,25,26,0,24
2018-01-04,29,25,27,0,18
2018-01-05,30,25,27,0,9
2018-01-06,30,25,27,0,11
2018-01-07,30,24,27,0,9
2018-01-08,31,25,28,0,10
2018-01-09,31,26,28,0,6
2018-01-10,30,25,27,0,9
2018-01-11,29,25,26,0,9
2018-01-12,27,24,25,0,14
2018-01-13,27,23,25,0,17
2018-01-14,27,23,25,0,15
2018-01-15,29,24,26,0,9
2018-01-16,28,24,26,0,9
2018-01-17,27,25,26,0,6
2018-01-18,30,24,27,0,7
2018-01-19,29,25,26,0,11
2018-01-20,29,24,26,0,6
2018-01-21,30,24,27,0,5
2018-01-22,30,24,27,0,8
2018-01-23,31,24,27,0,7
2018-01-24,29,25,27,0,7
2018-01-25,30,25,27,0,9
2018-01-26,31,25,27,0,3
2018-01-27,27,26,26,0,9
2018-01-28,27,25,26,0,18
2018-01-29,30,24,27,0,8
2018-01-30,30,24,27,0,10
2018-01-31,29,24,26,0,6
2018-02-01,30,24,27,0,5
2018-02-02,31,24,27,0,5
2018-02-03,29,24,26,0,11
2018-02-04,30,24,26,0,3
2018-02-05,29,24,26,0,5
2018-02-06,28,23,25,0,10
2018-02-07,29,22,25,0,6
2018-02-08,28,23,25,0,6
2018-02-09,30,24,27,0,3
2018-02-10,30,24,27,0,3
2018-02-11,30,24,27,0,8
2018-02-12,30,26,27,0,6
2018-02-13,28,25,26,0,15
2018-02-14,27,25,26,0,12
2018-02-15,31,25,28,0,7
2018-02-16,32,25,28,0,8
2018-02-17,32,25,28,0,4
2018-02-18,31,25,28,0,9
2018-02-19,32,25,28,0,9
2018-02-20,31,24,27,0,9
2018-02-21,32,25,28,0,8
2018-02-22,32,25,28,0,10
2018-02-23,31,24,27,0,12
2018-02-24,31,24,27,0,12
2018-02-25,30,25,27,0,9
2018-02-26,31,25,28,0,8
2018-02-27,30,26,28,0,10
2018-02-28,32,25,28,0,7
2018-03-01,32,26,29,0,10
2018-03-02,32,26,29,0,9
2018-03-03,33,25,29,0,8
2018-03-04,32,27,29,0,11
2018-03-05,33,26,29,0,9
2018-03-06,32,26,29,0,9
2018-03-07,31,26,28,0,10
2018-03-08,32,26,28,0,8
2018-03-09,30,26,27,0,9
2018-03-10,29,25,27,0,10
2018-03-11,29,24,26,0,18
2018-03-12,29,24,26,0,18
2018-03-13,30,24,27,0,10
2018-03-14,31,24,27,0,12
2018-03-15,32,24,28,0,7
2018-03-16,33,26,29,0,6
2018-03-17,31,26,28,0,9
2018-03-18,32,26,28,0,11
2018-03-19,33,25,29,0,10
2018-03-20,34,26,30,0,7
2018-03-21,33,26,29,0,14
2018-03-22,30,26,27,0,5
2018-03-23,29,25,27,0,13
2018-03-24,29,25,26,0,16
2018-03-25,30,24,27,0,14
2018-03-26,32,24,27,0,8
2018-03-27,31,24,27,0,6
2018-03-28,33,25,28,0,4
2018-03-29,31,25,28,0,7
2018-03-30,31,25,28,0,4
2018-03-31,29,25,27,0,9
2018-04-01,31,25,28,0,9
2018-04-02,31,24,27,0,6
2018-04-03,31,25,28,0,6
2018-04-04,31,25,28,0,9
2018-04-05,31,25,28,0,10
2018-04-06,32,25,29,0,11
2018-04-07,31,26,28,0,11
2018-04-08,30,26,28,0,21
2018-04-09,31,25,28,0,8
2018-04-10,32,26,29,0,8
2018-04-11,33,26,29,0,10
2018-04-12,34,27,30,0,8
2018-04-13,33,28,30,0,13
2018-04-14,34,27,30,0,10
2018-04-15,34,27,30,0,9
2018-04-16,33,27,30,0,11
2018-04-17,35,27,30,0,8
2018-04-18,32,27,29,0,12
2018-04-19,33,26,29,0,9
2018-04-20,34,27,30,0,6
2018-04-21,35,27,30,0,6
2018-04-22,35,27,31,0,8
2018-04-23,34,28,30,0,13
2018-04-24,35,28,31,0,9
2018-04-25,35,28,31,0,5
2018-04-26,34,28,31,0,5
2018-04-27,34,27,30,0,8
2018-04-28,34,27,30,0,7
2018-04-29,34,28,30,0,9
2018-04-30,34,28,31,0,8
2018-05-01,34,27,30,0,9
2018-05-02,35,28,31,0,11
2018-05-03,34,29,31,0,10
2018-05-04,34,28,30,0,9
2018-05-05,33,28,30,0,8
2018-05-06,35,28,31,0,11
2018-05-07,35,28,31,0,7
2018-05-08,35,29,31,0,7
2018-05-09,36,28,31,0,7
2018-05-10,34,28,31,0,9
2018-05-11,34,28,31,0,7
2018-05-12,35,28,31,0,9
2018-05-13,35,27,31,0,8
2018-05-14,35,28,31,0,8
2018-05-15,35,29,31,0,5
2018-05-16,35,28,31,0,10
2018-05-17,36,28,32,0,8
2018-05-18,36,29,32,0,10
2018-05-19,35,29,31,0,10
2018-05-20,35,29,31,0,10
2018-05-21,36,28,31,0,9
2018-05-22,35,28,31,0,6
2018-05-23,36,28,32,0,5
2018-05-24,35,29,32,0,10
2018-05-25,35,29,31,0,10
2018-05-26,36,28,31,0,8
2018-05-27,36,28,32,0,10
2018-05-28,36,29,32,0,7
2018-05-29,35,29,32,0,10
2018-05-30,35,29,31,0,11
2018-05-31,35,29,31,0,10
2018-06-01,35,29,32,0,9
2018-06-02,34,27,30,0,7
2018-06-03,33,27,30,0,11
2018-06-04,34,28,31,0,6
2018-06-05,34,28,31,0,3
2018-06-06,32,27,29,0,6
2018-06-07,30,27,28,0,12
2018-06-08,29,27,28,0,9
2018-06-09,28,27,27,0,20
2018-06-10,28,27,27,0,20
2018-06-11,28,27,27,0,15
2018-06-12,29,27,27,0,20
2018-06-13,29,27,27,0,20
2018-06-14,30,27,28,0,15
2018-06-15,30,27,28,0,22
2018-06-16,30,26,28,0,14
2018-06-17,30,26,28,0,14
2018-06-18,31,26,29,0,12
2018-06-19,32,27,29,0,4
2018-06-20,31,27,29,0,5
2018-06-21,31,26,28,0,8
2018-06-22,31,26,28,0,6
2018-06-23,32,26,28,0,4
2018-06-24,32,26,29,0,3
2018-06-25,31,26,29,0,6
2018-06-26,30,26,28,0,5
2018-06-27,30,26,28,0,4
2018-06-28,31,26,29,0,4
2018-06-29,31,26,29,0,4
2018-06-30,30,26,28,0,6
2018-07-01,30,27,28,0,8
2018-07-02,31,26,29,0,10
2018-07-03,30,27,28,0,7
2018-07-04,30,26,28,0,8
2018-07-05,31,26,28,0,12
2018-07-06,31,26,28,0,5
2018-07-07,31,26,28,0,5
2018-07-08,29,26,27,0,8
2018-07-09,30,26,27,0,5
2018-07-10,28,26,27,0,13
2018-07-11,28,26,27,0,14
2018-07-12,28,26,27,0,12
2018-07-13,28,26,26,0,8
2018-07-14,29,26,27,0,6
2018-07-15,28,26,27,0,18
2018-07-16,28,26,27,0,11
2018-07-17,27,26,26,0,9
2018-07-18,28,26,27,0,10
2018-07-19,29,26,27,0,7
2018-07-20,29,26,27,0,5
2018-07-21,29,26,27,0,21
2018-07-22,29,26,27,0,19
2018-07-23,28,26,27,0,13
2018-07-24,29,26,27,0,11
2018-07-25,30,26,27,0,6
2018-07-26,29,26,27,0,5
2018-07-27,30,26,27,0,6
2018-07-28,30,26,28,0,8
2018-07-29,29,26,28,0,8
2018-07-30,30,26,28,0,4
2018-07-31,30,26,28,0,6
2018-08-01,31,27,28,0,4
2018-08-02,30,26,28,0,7
2018-08-03,30,26,28,0,11
2018-08-04,30,26,28,0,0
2018-08-05,30,26,28,0,5
2018-08-06,29,26,27,0,4
2018-08-07,30,26,27,0,8
2018-08-08,29,26,27,0,13
2018-08-09,28,26,27,0,10
2018-08-10,28,26,27,0,18
2018-08-11,28,26,27,0,26
2018-08-12,28,26,27,0,23
2018-08-13,28,26,27,0,27
2018-08-14,29,26,27,0,23
2018-08-15,30,27,28,0,21
2018-08-16,30,27,28,0,15
2018-08-17,29,26,27,0,9
2018-08-18,29,26,27,0,12
2018-08-19,28,26,27,0,10
2018-08-20,29,26,27,0,15
2018-08-21,29,26,28,0,13
2018-08-22,30,27,28,0,20
2018-08-23,30,27,28,0,19
2018-08-24,29,26,28,0,15
2018-08-25,29,26,27,0,18
2018-08-26,29,26,27,0,14
2018-08-27,31,26,28,0,8
2018-08-28,31,26,29,0,3
2018-08-29,32,26,29,0,5
2018-08-30,31,26,29,0,3
2018-08-31,31,26,29,0,2
2018-09-01,30,26,28,0,1
2018-09-02,30,26,28,0,4
2018-09-03,29,25,27,0,8
2018-09-04,28,25,27,0,5
2018-09-05,30,25,28,0,5
2018-09-06,31,26,28,0,5
2018-09-07,28,26,27,0,5
2018-09-08,30,26,28,0,8
2018-09-09,31,26,28,0,6
2018-09-10,31,26,28,0,5
2018-09-11,30,26,28,0,3
2018-09-12,30,26,28,0,3
2018-09-13,31,26,28,0,2
2018-09-14,29,26,27,0,10
2018-09-15,27,26,27,0,34
2018-09-16,29,26,28,0,13
2018-09-17,32,26,28,0,4
2018-09-18,32,26,29,0,5
2018-09-19,30,27,28,0,6
2018-09-20,32,26,29,0,7
2018-09-21,31,26,28,0,2
2018-09-22,33,26,29,0,5
2018-09-23,33,26,29,0,4
2018-09-24,32,27,29,0,6
2018-09-25,31,26,29,0,6
2018-09-26,31,26,28,0,5
2018-09-27,31,27,28,0,5
2018-09-28,31,26,28,0,6
2018-09-29,31,26,28,0,4
2018-09-30,30,26,28,0,4
2018-10-01,31,26,29,0,5
2018-10-02,29,26,28,0,2
2018-10-03,31,26,28,0,3
2018-10-04,31,25,28,0,2
2018-10-05,32,25,28,0,6
2018-10-06,31,25,28,0,7
2018-10-07,31,26,28,0,5
2018-10-08,32,26,29,0,6
2018-10-09,32,26,29,0,5
2018-10-10,32,27,29,0,6
2018-10-11,32,27,29,0,4
2018-10-12,32,27,29,0,10
2018-10-13,32,27,29,0,7
2018-10-14,32,27,29,0,8
2018-10-15,31,26,29,0,4
2018-10-16,32,26,29,0,5
2018-10-17,31,26,29,0,3
2018-10-18,32,26,29,0,9
2018-10-19,32,26,29,0,7
2018-10-20,32,26,29,0,6
2018-10-21,31,27,28,0,8
2018-10-22,32,26,28,0,8
2018-10-23,32,26,28,0,10
2018-10-24,32,26,28,0,8
2018-10-25,31,26,28,0,8
2018-10-26,32,26,29,0,7
2018-10-27,32,27,29,0,5
2018-10-28,32,26,29,0,1
2018-10-29,29,24,27,0,8
2018-10-30,28,26,27,0,6
2018-10-31,31,26,28,0,20
2018-11-01,32,26,29,0,4
2018-11-02,32,26,29,0,9
2018-11-03,32,26,29,0,8
2018-11-04,32,26,29,0,9
2018-11-05,31,26,28,0,10
2018-11-06,30,27,28,0,17
2018-11-07,30,27,28,0,14
2018-11-08,31,26,28,0,10
2018-11-09,30,26,28,0,7
2018-11-10,31,26,28,0,15
2018-11-11,31,26,28,0,9
2018-11-12,31,26,28,0,9
2018-11-13,32,25,28,0,10
2018-11-14,31,25,28,0,8
2018-11-15,31,26,28,0,9
2018-11-16,32,26,28,0,9
2018-11-17,32,26,28,0,11
2018-11-18,31,25,28,0,8
2018-11-19,31,25,28,0,6
2018-11-20,30,25,28,0,9
2018-11-21,27,26,27,0,8
2018-11-22,31,26,28,0,13
2018-11-23,31,26,28,0,9
2018-11-24,31,25,28,0,6
2018-11-25,30,26,27,0,9
2018-11-26,31,25,28,0,9
2018-11-27,31,25,28,0,9
2018-11-28,31,25,28,0,8
2018-11-29,31,26,28,0,9
2018-11-30,30,26,28,0,14
2018-12-01,31,25,28,0,13
2018-12-02,30,26,28,0,8
2018-12-03,32,25,28,0,10
2018-12-04,31,27,29,0,7
2018-12-05,31,26,28,0,9
2018-12-06,31,27,29,0,9
2018-12-07,31,26,28,0,8
2018-12-08,30,26,28,0,7
2018-12-09,31,26,28,0,4
2018-12-10,31,25,28,0,5
2018-12-11,31,26,28,0,9
2018-12-12,31,26,28,0,5
2018-12-13,30,26,28,0,6
2018-12-14,28,26,27,0,12
2018-12-15,29,26,27,0,9
2018-12-16,30,25,27,0,7
2018-12-17,30,26,28,0,7
2018-12-18,30,26,27,0,13
2018-12-19,29,25,27,0,15
2018-12-20,29,24,27,0,8
2018-12-21,29,25,27,0,8
2018-12-22,30,25,28,0,3
2018-12-23,27,25,26,0,9
2018-12-24,28,25,26,0,9
2018-12-25,30,25,28,0,9
2018-12-26,31,25,28,0,8
2018-12-27,31,25,28,0,5
2018-12-28,28,25,27,0,5
2018-12-29,25,24,25,0,16
2018-12-30,26,24,25,0,17
2018-12-31,27,24,25,0,9
2019-01-01,29,25,26,0,9
2019-01-02,29,25,27,0,12
2019-01-03,29,25,27,0,9
2019-01-04,29,26,27,0,12
2019-01-05,29,25,27,0,14
2019-01-06,30,24,27,0,8
2019-01-07,29,23,26,0,10
2019-01-08,29,24,26,0,10
2019-01-09,29,24,26,0,13
2019-01-10,29,25,26,0,12
2019-01-11,29,25,27,0,9
2019-01-12,29,24,26,0,9
2019-01-13,29,24,26,0,8
2019-01-14,29,23,26,0,10
2019-01-15,29,24,26,0,13
2019-01-16,30,23,26,0,9
2019-01-17,30,22,26,0,7
2019-01-18,28,23,26,0,12
2019-01-19,29,24,26,0,11
2019-01-20,29,24,26,0,12
2019-01-21,29,25,27,0,11
2019-01-22,30,25,27,0,8
2019-01-23,29,25,27,0,10
2019-01-24,29,25,26,0,14
2019-01-25,28,24,26,0,13
2019-01-26,27,23,25,0,10
2019-01-27,26,23,24,0,18
2019-01-28,27,23,24,0,10
2019-01-29,27,22,24,0,8
2019-01-30,29,23,25,0,13
2019-01-31,29,23,26,0,6
2019-02-01,29,23,26,0,10
2019-02-02,28,24,26,0,11
2019-02-03,30,23,26,0,10
2019-02-04,30,24,27,0,8
2019-02-05,31,24,27,0,9
2019-02-06,30,22,26,0,8
2019-02-07,32,24,27,0,8
2019-02-08,32,23,27,0,11
2019-02-09,32,24,27,0,11
2019-02-10,30,24,27,0,9
2019-02-11,30,24,27,0,9
2019-02-12,29,23,26,0,11
2019-02-13,29,24,26,0,11
2019-02-14,29,23,26,0,7
2019-02-15,30,23,26,0,8
2019-02-16,30,24,27,0,9
2019-02-17,31,24,27,0,7
2019-02-18,30,24,27,0,12
2019-02-19,30,24,27,0,13
2019-02-20,29,24,26,0,11
2019-02-21,30,24,26,0,9
2019-02-22,30,24,26,0,8
2019-02-23,30,23,26,0,11
2019-02-24,32,24,27,0,12
2019-02-25,31,23,27,0,8
2019-02-26,29,24,27,0,10
2019-02-27,30,23,27,0,11
2019-02-28,31,24,27,0,6
2019-03-01,31,23,27,0,9
2019-03-02,31,24,27,0,9
2019-03-03,32,24,28,0,10
2019-03-04,33,25,28,0,7
2019-03-05,31,25,27,0,13
2019-03-06,33,25,28,0,8
2019-03-07,32,25,28,0,9
2019-03-08,32,26,28,0,11
2019-03-09,34,26,30,0,13
2019-03-10,33,26,29,0,7
2019-03-11,34,26,30,0,3
2019-03-12,34,26,29,0,8
2019-03-13,32,26,28,0,8
2019-03-14,32,26,28,0,9
2019-03-15,32,26,28,0,10
2019-03-16,31,25,28,0,10
2019-03-17,32,25,28,0,10
2019-03-18,32,25,28,0,9
2019-03-19,32,25,28,0,8
2019-03-20,32,25,28,0,10
2019-03-21,33,25,28,0,7
2019-03-22,33,25,29,0,10
2019-03-23,33,26,29,0,11
2019-03-24,31,25,28,0,12
2019-03-25,31,24,28,0,11
2019-03-26,32,25,28,0,9
2019-03-27,32,26,28,0,10
2019-03-28,33,26,29,0,10
2019-03-29,34,27,30,0,9
2019-03-30,33,26,29,0,9
2019-03-31,33,26,29,0,8
2019-04-01,32,26,29,0,12
2019-04-02,33,26,29,0,13
2019-04-03,33,26,29,0,12
2019-04-04,33,27,29,0,11
2019-04-05,34,27,30,0,13
2019-04-06,35,26,30,0,9
2019-04-07,36,28,31,0,11
2019-04-08,35,28,31,0,8
2019-04-09,33,28,30,0,13
2019-04-10,34,28,31,0,11
2019-04-11,34,28,30,0,11
2019-04-12,34,28,30,0,5
2019-04-13,34,28,31,0,8
2019-04-14,35,28,31,0,9
2019-04-15,35,28,31,0,10
2019-04-16,34,28,31,0,9
2019-04-17,34,28,31,0,8
2019-04-18,34,29,31,0,4
2019-04-19,36,28,32,0,9
2019-04-20,36,28,31,0,8
2019-04-21,36,28,31,0,10
2019-04-22,34,28,31,0,9
2019-04-23,34,28,31,0,11
2019-04-24,34,28,31,0,12
2019-04-25,36,28,31,0,11
2019-04-26,35,27,31,0,10
2019-04-27,34,28,30,0,10
2019-04-28,34,27,30,0,11
2019-04-29,34,28,30,0,9
2019-04-30,36,28,32,0,13
2019-05-01,34,28,31,0,7
2019-05-02,34,28,31,0,5
2019-05-03,34,27,30,0,5
2019-05-04,33,28,30,0,6
2019-05-05,33,27,29,0,4
2019-05-06,31,27,28,0,8
2019-05-07,29,27,28,0,7
2019-05-08,31,27,29,0,7
2019-05-09,32,27,29,0,6
2019-05-10,32,27,29,0,5
2019-05-11,31,27,29,0,6
2019-05-12,32,27,30,0,3
2019-05-13,34,28,31,0,5
2019-05-14,34,28,31,0,5
2019-05-15,34,28,31,0,6
2019-05-16,34,28,31,0,3
2019-05-17,33,28,31,0,4
2019-05-18,33,28,30,0,7
2019-05-19,34,29,31,0,5
2019-05-20,33,29,31,0,6
2019-05-21,33,28,30,0,8
2019-05-22,33,28,30,0,6
2019-05-23,33,28,30,0,4
2019-05-24,33,28,30,0,3
2019-05-25,32,27,29,0,8
2019-05-26,31,27,29,0,7
2019-05-27,32,26,29,0,5
2019-05-28,33,27,30,0,5
2019-05-29,33,28,30,0,5
2019-05-30,34,28,31,0,3
2019-05-31,34,28,31,0,8
2019-06-01,34,28,31,0,6
2019-06-02,35,29,31,0,8
2019-06-03,35,29,31,0,7
2019-06-04,34,28,31,0,10
2019-06-05,34,28,31,0,7
2019-06-06,34,28,31,0,13
2019-06-07,34,28,31,0,9
2019-06-08,34,29,31,0,8
2019-06-09,34,29,31,0,6
2019-06-10,32,28,30,0,5
2019-06-11,33,28,30,0,8
2019-06-12,33,28,30,0,6
2019-06-13,32,28,30,0,6
2019-06-14,32,28,29,0,6
2019-06-15,31,28,29,0,18
2019-06-16,32,28,29,0,6
2019-06-17,34,28,30,0,10
2019-06-18,33,28,30,0,8
2019-06-19,34,28,30,0,6
2019-06-20,33,28,31,0,7
2019-06-21,33,28,30,0,6
2019-06-22,33,28,30,0,3
2019-06-23,33,27,30,0,4
2019-06-24,32,27,29,0,6
2019-06-25,31,27,29,0,9
2019-06-26,30,27,28,0,4
2019-06-27,29,26,27,0,3
2019-06-28,29,27,27,0,11
2019-06-29,29,25,27,0,13
2019-06-30,29,25,27,0,14
2019-07-01,26,25,26,0,21
2019-07-02,27,25,26,0,15
2019-07-03,32,26,29,0,7
2019-07-04,32,27,29,0,4
2019-07-05,31,27,29,0,4
2019-07-06,31,27,29,0,5
2019-07-07,31,27,29,0,6
2019-07-08,31,27,29,0,6
2019-07-09,31,27,29,0,7
2019-07-10,31,27,29,0,10
2019-07-11,32,27,29,0,9
2019-07-12,33,27,30,0,3
2019-07-13,31,27,29,0,3
2019-07-14,31,27,28,0,4
2019-07-15,30,27,28,0,5
2019-07-16,28,26,27,0,4
2019-07-17,27,26,27,0,18
2019-07-18,29,26,28,0,23
2019-07-19,31,26,28,0,28
2019-07-20,31,27,29,0,8
2019-07-21,31,27,28,0,6
2019-07-22,31,26,28,0,8
2019-07-23,30,27,28,0,6
2019-07-24,31,26,28,0,8
2019-07-25,30,26,28,0,5
2019-07-26,30,26,28,0,7
2019-07-27,30,26,28,0,3
2019-07-28,28,26,27,0,5
2019-07-29,28,25,27,0,12
2019-07-30,28,26,27,0,4
2019-07-31,30,26,28,0,6
2019-08-01,30,26,28,0,12
2019-08-02,29,26,27,0,11
2019-08-03,27,26,26,0,18
2019-08-04,26,26,26,0,21
2019-08-05,28,26,27,0,20
2019-08-06,27,26,27,0,15
2019-08-07,29,27,27,0,21
2019-08-08,29,27,28,0,28
2019-08-09,29,26,28,0,32
2019-08-10,29,27,28,0,28
2019-08-11,30,27,28,0,24
2019-08-12,30,27,28,0,21
2019-08-13,30,27,28,0,18
2019-08-14,30,27,28,0,19
2019-08-15,30,27,28,0,19
2019-08-16,31,27,29,0,16
2019-08-17,30,27,29,0,14
2019-08-18,31,27,29,0,9
2019-08-19,31,27,28,0,9
2019-08-20,31,26,28,0,8
2019-08-21,30,27,28,0,13
2019-08-22,29,26,27,0,11
2019-08-23,29,26,27,0,16
2019-08-24,29,26,27,0,21
2019-08-25,30,27,28,0,12
2019-08-26,31,26,28,0,6
2019-08-27,27,25,26,0,9
2019-08-28,29,25,27,0,5
2019-08-29,30,26,27,0,6
2019-08-30,29,25,27,0,14
2019-08-31,29,26,27,0,7
2019-09-01,29,25,27,0,2
2019-09-02,30,25,27,0,10
2019-09-03,29,26,27,0,19
2019-09-04,30,27,28,0,14
2019-09-05,30,27,28,0,17
2019-09-06,30,27,28,0,15
2019-09-07,30,27,28,0,18
2019-09-08,29,27,28,0,16
2019-09-09,29,26,27,0,17
2019-09-10,28,26,27,0,8
2019-09-11,29,25,27,0,6
2019-09-12,27,25,26,0,4
2019-09-13,29,25,27,0,8
2019-09-14,30,26,28,0,6
2019-09-15,27,25,26,0,10
2019-09-16,28,25,26,0,19
2019-09-17,28,26,27,0,21
2019-09-18,28,26,27,0,30
2019-09-19,28,25,27,0,22
2019-09-20,27,24,26,0,15
2019-09-21,29,24,27,0,20
2019-09-22,29,25,28,0,7
2019-09-23,32,26,29,0,3
2019-09-24,31,26,29,0,4
2019-09-25,32,26,29,0,8
2019-09-26,32,26,29,0,8
2019-09-27,32,26,29,0,5
2019-09-28,32,27,29,0,5
2019-09-29,30,27,28,0,6
2019-09-30,30,27,28,0,11
2019-10-01,30,27,29,0,5
2019-10-02,31,27,28,0,6
2019-10-03,31,26,28,0,8
2019-10-04,30,26,28,0,5
2019-10-05,31,26,28,0,6
2019-10-06,31,26,28,0,5
2019-10-07,32,26,29,0,11
2019-10-08,31,26,29,0,9
2019-10-09,31,26,28,0,9
2019-10-10,31,26,28,0,6
2019-10-11,31,26,28,0,5
2019-10-12,31,26,28,0,5
2019-10-13,31,26,28,0,9
2019-10-14,30,25,28,0,9
2019-10-15,31,26,28,0,9
2019-10-16,31,26,28,0,10
2019-10-17,32,26,29,0,9
2019-10-18,32,27,29,0,8
2019-10-19,31,26,29,0,7
2019-10-20,32,26,29,0,5
2019-10-21,31,27,29,0,7
2019-10-22,31,27,28,0,8
2019-10-23,32,26,29,0,7
2019-10-24,31,27,28,0,9
2019-10-25,31,26,28,0,8
2019-10-26,31,27,28,0,12
2019-10-27,31,26,29,0,8
2019-10-28,30,27,28,0,9
2019-10-29,31,27,29,0,10
2019-10-30,31,27,28,0,9
2019-10-31,31,26,28,0,12
2019-11-01,31,27,29,0,12
2019-11-02,31,26,28,0,6
2019-11-03,30,26,28,0,7
2019-11-04,31,26,28,0,10
2019-11-05,31,26,28,0,5
2019-11-06,30,26,28,0,5
2019-11-07,30,26,28,0,9
2019-11-08,31,26,28,0,6
2019-11-09,31,26,28,0,8
2019-11-10,31,26,28,0,4
2019-11-11,29,26,27,0,5
2019-11-12,29,26,27,0,4
2019-11-13,28,25,27,0,7
2019-11-14,29,25,27,0,9
2019-11-15,30,26,28,0,4
2019-11-16,32,26,29,0,6
2019-11-17,30,25,28,0,6
2019-11-18,30,24,28,0,8
2019-11-19,32,26,29,0,8
2019-11-20,32,27,29,0,5
2019-11-21,31,27,28,0,8
2019-11-22,30,26,28,0,7
2019-11-23,31,26,28,0,9
2019-11-24,30,26,28,0,9
2019-11-25,30,26,28,0,10
2019-11-26,30,27,28,0,14
2019-11-27,31,26,28,0,10
2019-11-28,30,27,28,0,14
2019-11-29,29,25,27,0,18
2019-11-30,29,25,27,0,11
2019-12-01,29,25,27,0,11
2019-12-02,29,24,27,0,10
2019-12-03,27,25,26,0,12
2019-12-04,30,26,28,0,32
2019-12-05,31,26,28,0,11
2019-12-06,30,26,28,0,5
2019-12-07,30,25,27,0,11
2019-12-08,29,25,27,0,7
2019-12-09,28,25,26,0,10
2019-12-10,28,24,26,0,6
2019-12-11,29,25,27,0,8
2019-12-12,29,25,27,0,10
2019-12-13,30,26,28,0,13
2019-12-14,30,25,28,0,13
2019-12-15,30,26,28,0,13
2019-12-16,30,26,28,0,13
2019-12-17,30,26,28,0,12
2019-12-18,30,26,28,0,13
2019-12-19,29,25,27,0,12
2019-12-20,30,25,27,0,7
2019-12-21,29,26,27,0,12
2019-12-22,30,25,27,0,9
2019-12-23,30,25,27,0,9
2019-12-24,32,25,28,0,9
2019-12-25,27,26,26,0,16
2019-12-26,30,26,28,0,12
2019-12-27,31,25,28,0,5
2019-12-28,30,26,27,0,8
